,key_0,vacancy_id,salary_from,salary_to,employer_id,name_hh,experience_id,specialization_id,professionalrole_id,geometry,avg_salary,flag,inn,okved,okveds,if_target_okveds
119,14631,47854760,174000,250000,733,ланит,between3And6,[1.221],96,POINT (347667.730008696 6648734.053070716),212000,True,7606035710,46.49,"['46.4', '64.99.1', '64.99.3', '68.10.12', '68.10.22', '68.10.23', '69.10', '70.22', '82.99', '46.49']",False
121,14726,48051842,95000,150000,231072,проектно-конструкторское бюро рио,between1And3,"[1.221, 1.82]",48,POINT (346796.44909166393 6649556.341595222),122500,True,7805069865,95.12,"['26.11', '26.20.4', '26.30', '26.30.1', '26.30.11', '26.30.12', '26.30.15', '26.30.19', '26.30.3', '26.51.2', '26.51.7', '41.20', '43.21', '62.01', '62.02', '62.09', '63.11', '68.20.2', '70.22', '71.11.1', '72.19', '82.99', '95.11', '95.12']",True
122,14763,48138724,139200,191400,1916308,sputnik8,between1And3,"[1.221, 1.9, 1.82, 1.1, 1.5]",96,POINT (348019.4055198218 6647811.996461449),165300,True,5022053904,52.21.24,,False
125,15052,48981554,70000,150000,4446721,альфа балт инжиниринг,between1And3,[1.221],96,POINT (347533.44313851313 6647988.462019225),110000,True,7813195920,27.11.1,"['25.11', '27.90', '33.14', '33.20', '43.21', '46.69', '27.11.1']",True
126,15097,49082244,174000,250000,5272483,компания «кронштадт»,between3And6,[1.221],96,POINT (346743.3478095798 6647988.541947327),212000,True,7801314178,46.69.2,"['28.11', '28.49', '28.91', '28.92', '33.20', '41.20', '42.99', '43.29', '45.19', '45.19.1', '46.14.9', '46.69', '46.69.9', '46.71', '46.72', '46.73', '46.74', '46.75', '46.76', '46.90', '49.41', '49.41.1', '49.41.2', '50.20', '50.40', '52.10', '52.24', '52.29', '68.10', '68.10.1', '68.20', '68.31.1', '68.32', '71.11', '71.12', '71.12.5', '46.69.2']",True
127,15099,49082714,156600,234900,3322378,ск-информика,between3And6,"[1.221, 1.9, 1.82, 1.1, 1.5]",96,POINT (347089.1694339065 6647743.9156810995),195750,True,4705068862,82.30,"['46.51', '46.66', '46.69.2', '46.69.5', '58.29', '62.01', '62.02', '62.02.1', '62.02.2', '62.02.4', '62.03', '62.03.1', '62.03.11', '62.03.12', '62.03.13', '62.03.19', '62.09', '63.11', '63.11.1', '63.99.1', '95.11', '82.30']",True
128,15122,49157049,121800,304500,4504791,инноскрипта интернешнл,between1And3,[1.221],96,POINT (347291.0301155384 6647691.417965516),213150,True,7841087700,62.01,"['58.29', '62.02', '62.03', '62.09', '62.01']",True
130,15330,49825245,80000,120000,3920737,мк-бизнес онлайн,between1And3,"[1.221, 1.9, 1.82, 1.1, 1.5]",96,POINT (346849.19816000183 6646669.68254719),100000,True,3906375519,62.01,"['62.02', '62.09', '63.11', '69.10', '69.20', '70.21', '70.22', '71.12.6', '73.11', '82.99', '62.01']",True
131,15790,50010642,250000,112055,3789594,плато инжиниринг,moreThan6,"[18.142, 18.568, 20.287, 20.83, 20.233]",30,POINT (346500.86952710705 6646817.363874346),181028,True,7842453163,71.11.1,"['71.12', '71.12.1', '71.12.12', '71.12.13', '71.11.1']",True
132,15967,50013018,45240,64588,1490114,нпц авиасистемы,between1And3,"[18.245, 18.13, 18.81, 18.118]",44,POINT (346489.73399536416 6647321.91487376),54914,True,7801587418,26.51.2,"['26.11', '26.12', '26.30.17', '26.40', '33.13', '46.69.5', '46.90', '47.78.1', '72.19', '82.99', '26.51.2']",True
135,16072,50014412,68940,106180,41144,аскон,between1And3,"[1.27, 1.211, 1.82, 1.89, 1.273]",113,POINT (347108.05500917335 6649232.917779252),87560,True,7809009923,70.10.2,"['46.90', '47.41', '62.01', '62.02', '62.09', '64.20', '69.10', '69.20', '70.10.1', '70.22', '73.11', '70.10.2']",True
138,16421,50017831,54810,73812,3845,морион,between3And6,"[18.81, 18.245]",49,POINT (346109.41672056564 6649499.498058495),64311,True,5905000038,26.30.11,"['18.11', '26.11', '26.11.3', '26.12', '26.30', '26.30.12', '26.30.13', '26.30.14', '26.30.15', '26.30.16', '26.30.19', '26.30.5', '33.20', '35.22', '35.30.14', '35.30.2', '35.30.3', '35.30.4', '38.31', '38.32', '38.32.3', '38.32.4', '43.11', '43.12.3', '43.21', '43.22', '43.29', '43.31', '43.33', '43.34', '43.91', '43.99', '43.99.1', '46.69.2', '46.69.5', '49.41.2', '58.13', '61.10.1', '62.01', '62.02', '62.09', '63.11', '63.11.1', '70.22', '71.20.1', '73.11', '74.90.9', '74.90.91', '74.90.92', '85.11', '86.90.4', '26.30.11']",True
139,16568,50019377,60900,110069,204049,оптэк,moreThan6,"[20.233, 18.568, 20.287, 20.83]",48,POINT (346603.85844209435 6648013.775102744),85484,True,7814003726,26.70,"['26.51', '33.13', '33.20', '46.43.4', '46.69', '62.01', '62.02', '63.11', '71.12.5', '72.19', '77.39.25', '77.39.29', '26.70']",True
140,16657,50020718,200000,250000,14208,акваарт,between3And6,"[1.221, 1.3, 1.274, 1.272, 1.5, 1.327]",104,POINT (346133.03303353465 6649306.629759637),225000,True,7801278547,70.22,"['62.01', '62.02', '62.09', '63.11', '63.11.1', '66.19.4', '66.2', '68.31.11', '68.31.12', '68.31.21', '68.31.22', '68.31.31', '68.31.32', '68.31.41', '68.31.42', '68.31.5', '68.32', '69.10', '69.20', '70.10.1', '70.10.2', '71.20', '73.20', '78.10', '82.99', '70.22']",True
142,17161,50026647,71100,106067,1306279,би си эс,between1And3,"[1.203, 1.211, 1.82, 1.295, 1.27, 29.581]",111,POINT (346532.28679384256 6648880.498389458),88583,True,7707115538,64.19,,False
143,17451,50030348,30000,70000,1441002,чу дпо межведомственный институт повышения квалификации,between1And3,"[6.309, 14.87, 17.333, 17.538, 17.149, 17.405]",70,POINT (347533.44313851313 6647988.462019225),50000,True,7801269790,85.42,"['85.23', '85.30', '85.41', '85.41.9', '85.42.9', '85.42']",False
148,17932,50037055,100000,243600,4504791,инноскрипта интернешнл,between1And3,"[1.221, 1.474]",96,POINT (347291.0301155384 6647691.417965516),171800,True,7841087700,62.01,"['58.29', '62.02', '62.03', '62.09', '62.01']",True
149,18103,50038698,100000,58160,2418044,массивбург,noExperience,"[18.568, 17.443, 18.143, 18.13]",48,POINT (347848.7705118064 6647297.925160871),79080,True,7811612254,43.39,"['31.01', '31.02', '31.03', '31.09', '41.20', '42.11', '42.91', '42.99', '43.11', '43.12.3', '43.13', '43.21', '43.22', '43.29', '43.31', '43.32', '43.33', '43.34', '43.91', '43.99', '43.99.1', '46.47', '47.59', '69.20', '43.39']",False
150,18315,50040881,50000,90000,1379384,евразийская технологическая группа,moreThan6,"[18.568, 18.81, 18.245, 29.517]",111,POINT (346890.65170744003 6648847.5666163545),70000,True,7801530010,71.12.12,"['26.20', '26.51', '27.90', '32.99', '33.12', '41.2', '41.20', '43.2', '43.21', '43.3', '46.14', '46.3', '46.9', '46.90', '47.2', '47.7', '52.10', '52.24', '52.29', '71.12', '71.12.1', '71.12.45', '71.20', '72.19', '82.99', '71.12.12']",True
152,18517,50043109,41938,62612,1363143,институт авиационного приборостроения навигатор,noExperience,"[20.233, 18.568, 20.287, 20.83]",48,POINT (344957.22487106884 6646892.815923921),52275,True,7801004507,72.19,"['26.30.17', '26.40', '26.51.2', '46.43.2', '46.43.3', '46.51', '46.69.2', '46.69.5', '46.69.9', '47.41', '47.42', '47.43', '47.54', '70.22', '73.11', '73.20.1', '82.99', '95.21', '95.22.1', '72.19']",True
153,18549,50043621,100000,170000,3695207,рябиченко сергей васильевич,between1And3,[1.221],96,POINT (346468.29884409625 6649684.919698365),135000,True,780434651510,74.10,,False
158,18777,50047317,54964,69150,5272483,компания «кронштадт»,between1And3,"[18.81, 18.13, 18.142, 18.568, 18.245]",48,POINT (346743.34780957946 6647988.541947327),62057,True,7801314178,46.69.2,"['28.11', '28.49', '28.91', '28.92', '33.20', '41.20', '42.99', '43.29', '45.19', '45.19.1', '46.14.9', '46.69', '46.69.9', '46.71', '46.72', '46.73', '46.74', '46.75', '46.76', '46.90', '49.41', '49.41.1', '49.41.2', '50.20', '50.40', '52.10', '52.24', '52.29', '68.10', '68.10.1', '68.20', '68.31.1', '68.32', '71.11', '71.12', '71.12.5', '46.69.2']",True
159,18820,50048227,100000,150000,5272483,компания «кронштадт»,between1And3,[1.221],116,POINT (346743.3478095798 6647988.541947327),125000,True,7801314178,46.69.2,"['28.11', '28.49', '28.91', '28.92', '33.20', '41.20', '42.99', '43.29', '45.19', '45.19.1', '46.14.9', '46.69', '46.69.9', '46.71', '46.72', '46.73', '46.74', '46.75', '46.76', '46.90', '49.41', '49.41.1', '49.41.2', '50.20', '50.40', '52.10', '52.24', '52.29', '68.10', '68.10.1', '68.20', '68.31.1', '68.32', '71.11', '71.12', '71.12.5', '46.69.2']",True
161,18864,50050845,95700,201950,2509911,вэктис минералз,between3And6,"[1.221, 10.8, 1.274, 1.82]",48,POINT (347088.60692586994 6647742.489533505),148825,True,7801616644,71.12.12,"['26.51.5', '27.12', '28.22.7', '28.29.6', '28.41', '28.91', '28.92', '28.93', '28.95', '28.99.9', '33.14', '33.20', '43.21', '43.22', '43.29', '46.14', '46.19', '46.43', '46.49', '46.51', '46.62', '46.63', '46.66', '46.69', '46.75', '46.76', '46.90', '52.10', '62.01', '62.02', '62.03', '63.11', '63.11.1', '71.11', '71.12', '71.12.1', '71.12.2', '71.12.5', '71.12.6', '72.19', '85.42.9', '71.12.12']",True
162,19082,50056729,180000,150000,41144,аскон,between1And3,[1.221],96,POINT (347108.05500917335 6649232.917779252),165000,True,7809009923,70.10.2,"['46.90', '47.41', '62.01', '62.02', '62.09', '64.20', '69.10', '69.20', '70.10.1', '70.22', '73.11', '70.10.2']",True
163,19293,50059510,80000,90000,5293675,консалт проект,moreThan6,"[20.233, 18.568, 20.287, 20.83]",47,POINT (346584.7519967789 6647517.078659582),85000,True,9722008220,70.22,"['62.01', '62.02', '62.02.1', '63.99.1', '82.11', '82.30', '70.22']",True
164,19517,50062727,59160,80000,5626151,эксперимент,between3And6,"[18.488, 18.299, 18.3, 18.298, 18.297]",49,POINT (346028.90015421645 6649880.602506278),69580,True,7718824504,26.51,"['26.51.1', '26.70', '26.70.1', '26.70.4', '26.70.5', '26.70.6', '29.10', '29.20', '30.40', '30.99', '41.20', '43.21', '43.99.5', '45.20', '45.20.1', '45.20.2', '45.20.4', '46.19', '46.69', '46.90', '47.9', '52.24', '52.29', '62.01', '71.12', '71.12.4', '71.12.41', '71.12.42', '71.12.43', '71.12.44', '71.12.45', '71.12.9', '71.20', '71.20.9', '72.19', '82.99', '26.51']",True
166,20043,50069787,42750,68520,3127,мегафон,noExperience,"[1.295, 1.82, 25.381, 29.581, 25.386]",111,POINT (347354.2291866925 6647688.249740892),55635,True,7812014560,61.10,"['46.51.2', '46.90', '61.20', '62.01', '62.02', '62.03', '62.09', '63.11', '63.11.1', '63.99.1', '69.10', '69.20', '70.22', '71.12.5', '71.12.51', '71.12.53', '71.12.54', '71.12.55', '72.19', '74.90.5', '61.10']",True
169,20589,50076988,59160,86280,3913951,горный инструмент,between3And6,"[18.488, 18.299, 18.3, 18.298, 18.297]",49,POINT (346290.85649833747 6647266.940984977),72720,True,4221001049,28.92,"['25.73', '33.12', '46.72.21', '46.90', '56.29', '72.19', '28.92']",True
170,20781,50079539,30000,50000,590237,нпп марс-энерго,between3And6,"[1.295, 1.82, 25.381, 29.581, 25.386]",111,POINT (346293.97962443804 6646109.047064484),40000,True,7826694683,26.51.4,"['26.51.6', '26.51.7', '33.13', '33.14', '33.20', '72.19', '26.51.4']",True
171,20784,50079566,72075,82250,590237,нпп марс-энерго,between3And6,"[20.233, 18.568, 20.287, 20.83]",48,POINT (347880.53941853857 6647288.144198137),77162,True,7826694683,26.51.4,"['26.51.6', '26.51.7', '33.13', '33.14', '33.20', '72.19', '26.51.4']",True
172,20808,50079769,72075,82250,590237,нпп марс-энерго,between3And6,"[20.233, 18.568, 20.287, 20.83]",48,POINT (346293.9796244381 6646109.047064486),77162,True,7826694683,26.51.4,"['26.51.6', '26.51.7', '33.13', '33.14', '33.20', '72.19', '26.51.4']",True
174,22364,50101804,80000,162170,2600303,союз лур,between3And6,"[1.475, 1.221, 3.48, 3.64, 11.62]",34,POINT (347786.6384689859 6648852.240382315),121085,True,7813440547,46.37,"['10.82', '10.83', '45.20.1', '46.13.1', '46.13.2', '46.31', '46.31.11', '46.32', '46.32.3', '46.33', '46.34', '46.35', '46.36', '46.38', '46.39', '46.41', '46.41.2', '46.42', '46.43', '46.44', '46.45', '46.46', '46.49', '46.73.1', '46.73.2', '46.73.3', '46.73.4', '46.73.5', '46.73.6', '46.90', '47.99', '47.99.2', '52.29', '68.20.2', '70.22', '46.37']",False
175,22397,50102163,148605,227590,1363143,институт авиационного приборостроения навигатор,between3And6,"[1.221, 1.327, 1.25, 1.272, 1.5]",10,POINT (344957.22487106884 6646892.815923921),188098,True,7801004507,72.19,"['26.30.17', '26.40', '26.51.2', '46.43.2', '46.43.3', '46.51', '46.69.2', '46.69.5', '46.69.9', '47.41', '47.42', '47.43', '47.54', '70.22', '73.11', '73.20.1', '82.99', '95.21', '95.22.1', '72.19']",True
176,22400,50102179,60000,72500,1363143,институт авиационного приборостроения навигатор,between1And3,"[20.233, 18.568, 20.287, 20.83]",48,POINT (344957.22487106884 6646892.815923921),66250,True,7801004507,72.19,"['26.30.17', '26.40', '26.51.2', '46.43.2', '46.43.3', '46.51', '46.69.2', '46.69.5', '46.69.9', '47.41', '47.42', '47.43', '47.54', '70.22', '73.11', '73.20.1', '82.99', '95.21', '95.22.1', '72.19']",True
177,22727,50106347,162580,233990,2627417,fmedia,between3And6,"[1.221, 1.9, 1.82, 1.1, 1.5]",96,POINT (347252.3539968526 6647607.054631396),198285,True,5753062284,73.11,"['18.12', '58.13', '59.11', '60.10', '60.20', '73.11']",False
178,23285,50113828,40000,50000,995637,кадровый советник,between1And3,"[1.359, 26.449, 18.245, 18.36, 26.414]",111,POINT (347708.72547211556 6648789.670421771),45000,True,1841021635,69,"['78.1', '85.23', '85.42.9', '69']",False
179,23297,50113935,60000,72500,1363143,институт авиационного приборостроения навигатор,between1And3,"[20.233, 18.568, 20.287, 20.83]",48,POINT (344957.22487106884 6646892.815923921),66250,True,7801004507,72.19,"['26.30.17', '26.40', '26.51.2', '46.43.2', '46.43.3', '46.51', '46.69.2', '46.69.5', '46.69.9', '47.41', '47.42', '47.43', '47.54', '70.22', '73.11', '73.20.1', '82.99', '95.21', '95.22.1', '72.19']",True
180,23303,50114053,154625,224000,2627417,fmedia,between3And6,"[1.221, 1.25]",96,POINT (347252.3539968526 6647607.054631396),189312,True,5753062284,73.11,"['18.12', '58.13', '59.11', '60.10', '60.20', '73.11']",False
182,23504,50116089,80000,123333,2061860,panoramik,between1And3,"[1.475, 11.62, 1.221]",25,POINT (346680.587264089 6648579.436956357),101667,True,9719002099,25.11,"['25.61', '25.62', '25.99', '41.20', '43.39', '43.99.5', '46.73.6', '46.90', '47.52.7', '47.52.73', '47.99', '49.41', '49.42', '71.11.1', '72.19', '77.32', '25.11']",True
183,23508,50116119,69600,107582,1306279,би си эс,between1And3,"[1.272, 1.274, 1.82, 20.7, 20.83, 20.233]",48,POINT (346532.28679384256 6648880.498389458),88591,True,7707115538,64.19,,False
186,24520,50133772,70000,70000,5229446,джи эр,between1And3,"[1.82, 18.142, 29.553, 29.162]",86,POINT (346934.7463636596 6648868.3727773195),70000,True,7713009288,47.99.5,,False
187,24549,50134046,60000,90000,119908,"алмаз, судостроительная фирма",between3And6,"[1.82, 18.142, 29.162, 29.511, 29.553]",128,POINT (346834.64725288504 6649539.083993251),75000,True,7813046950,30.11,"['30.12', '31.01', '31.09', '33.15', '46.69.1', '47.64', '50.10', '50.20', '50.20.3', '50.20.42', '50.30', '50.30.2', '50.40', '50.40.2', '52.22', '52.22.1', '52.22.2', '71.12', '73.11', '73.20.1', '82.99', '30.11']",True
